[2021-12-22 10:00:11,374][train.py][INFO] start training!
[2021-12-22 10:00:13,543][train.py][INFO] epoch:0/25, 1th , loss: 5.263369560241699
[2021-12-22 10:00:14,013][train.py][INFO] epoch:0/25, 3th , loss: 4.267889499664307
[2021-12-22 10:00:14,063][train.py][INFO] epoch:0/25, 5th , loss: 4.66035795211792
[2021-12-22 10:00:14,113][train.py][INFO] epoch:0/25, 7th , loss: 3.477928638458252
[2021-12-22 10:00:14,163][train.py][INFO] epoch:0/25, 9th , loss: 0.6520861387252808
[2021-12-22 10:00:15,143][train.py][INFO] epoch:0/25, 11th , loss: 1.8468620777130127
[2021-12-22 10:00:15,483][train.py][INFO] epoch:1/25, 1th , loss: 1.7847532033920288
[2021-12-22 10:00:15,533][train.py][INFO] epoch:1/25, 3th , loss: 0.3699556887149811
[2021-12-22 10:00:15,583][train.py][INFO] epoch:1/25, 5th , loss: 1.163718581199646
[2021-12-22 10:00:15,633][train.py][INFO] epoch:1/25, 7th , loss: 0.20954366028308868
[2021-12-22 10:00:15,683][train.py][INFO] epoch:1/25, 9th , loss: 0.4011937975883484
[2021-12-22 10:00:15,733][train.py][INFO] epoch:1/25, 11th , loss: 0.7186912298202515
[2021-12-22 10:00:15,773][train.py][INFO] epoch:2/25, 1th , loss: 0.3717819154262543
[2021-12-22 10:00:15,823][train.py][INFO] epoch:2/25, 3th , loss: 0.2541850805282593
[2021-12-22 10:00:15,873][train.py][INFO] epoch:2/25, 5th , loss: 0.526207447052002
[2021-12-22 10:00:15,923][train.py][INFO] epoch:2/25, 7th , loss: 0.2554543912410736
[2021-12-22 10:00:15,973][train.py][INFO] epoch:2/25, 9th , loss: 0.13198955357074738
[2021-12-22 10:00:16,033][train.py][INFO] epoch:2/25, 11th , loss: 0.13196983933448792
[2021-12-22 10:00:16,063][train.py][INFO] epoch:3/25, 1th , loss: 0.6954590082168579
[2021-12-22 10:00:16,113][train.py][INFO] epoch:3/25, 3th , loss: 0.09597404301166534
[2021-12-22 10:00:16,163][train.py][INFO] epoch:3/25, 5th , loss: 0.11083034425973892
[2021-12-22 10:00:16,213][train.py][INFO] epoch:3/25, 7th , loss: 0.4862881302833557
[2021-12-22 10:00:16,263][train.py][INFO] epoch:3/25, 9th , loss: 0.11395379155874252
[2021-12-22 10:00:16,313][train.py][INFO] epoch:3/25, 11th , loss: 0.6751757264137268
[2021-12-22 10:00:16,353][train.py][INFO] epoch:4/25, 1th , loss: 0.3139113783836365
[2021-12-22 10:00:16,403][train.py][INFO] epoch:4/25, 3th , loss: 0.4842575192451477
[2021-12-22 10:00:16,453][train.py][INFO] epoch:4/25, 5th , loss: 0.17522390186786652
[2021-12-22 10:00:16,503][train.py][INFO] epoch:4/25, 7th , loss: 0.15259110927581787
[2021-12-22 10:00:16,553][train.py][INFO] epoch:4/25, 9th , loss: 0.2725614607334137
[2021-12-22 10:00:16,603][train.py][INFO] epoch:4/25, 11th , loss: 0.15110962092876434
[2021-12-22 10:00:16,643][train.py][INFO] epoch:5/25, 1th , loss: 0.14144563674926758
[2021-12-22 10:00:16,693][train.py][INFO] epoch:5/25, 3th , loss: 0.2396227866411209
[2021-12-22 10:00:16,743][train.py][INFO] epoch:5/25, 5th , loss: 0.20670337975025177
[2021-12-22 10:00:16,793][train.py][INFO] epoch:5/25, 7th , loss: 0.07610293477773666
[2021-12-22 10:00:16,833][train.py][INFO] epoch:5/25, 9th , loss: 0.14144274592399597
[2021-12-22 10:00:16,883][train.py][INFO] epoch:5/25, 11th , loss: 0.06323714554309845
[2021-12-22 10:00:16,923][train.py][INFO] epoch:6/25, 1th , loss: 0.15775123238563538
[2021-12-22 10:00:16,973][train.py][INFO] epoch:6/25, 3th , loss: 0.16765999794006348
[2021-12-22 10:00:17,023][train.py][INFO] epoch:6/25, 5th , loss: 0.07327213883399963
[2021-12-22 10:00:17,073][train.py][INFO] epoch:6/25, 7th , loss: 0.1421174854040146
[2021-12-22 10:00:17,123][train.py][INFO] epoch:6/25, 9th , loss: 0.1344379335641861
[2021-12-22 10:00:17,173][train.py][INFO] epoch:6/25, 11th , loss: 0.1357681006193161
[2021-12-22 10:00:17,213][train.py][INFO] epoch:7/25, 1th , loss: 0.08257347345352173
[2021-12-22 10:00:17,263][train.py][INFO] epoch:7/25, 3th , loss: 0.06944776326417923
[2021-12-22 10:00:17,313][train.py][INFO] epoch:7/25, 5th , loss: 0.10187585651874542
[2021-12-22 10:00:17,373][train.py][INFO] epoch:7/25, 7th , loss: 0.07468539476394653
[2021-12-22 10:00:17,413][train.py][INFO] epoch:7/25, 9th , loss: 0.10872457921504974
[2021-12-22 10:00:17,463][train.py][INFO] epoch:7/25, 11th , loss: 0.0778743252158165
[2021-12-22 10:00:17,503][train.py][INFO] epoch:8/25, 1th , loss: 0.08396844565868378
[2021-12-22 10:00:17,563][train.py][INFO] epoch:8/25, 3th , loss: 0.03985082358121872
[2021-12-22 10:00:17,613][train.py][INFO] epoch:8/25, 5th , loss: 0.07778371125459671
[2021-12-22 10:00:17,663][train.py][INFO] epoch:8/25, 7th , loss: 0.05941260978579521
[2021-12-22 10:00:17,713][train.py][INFO] epoch:8/25, 9th , loss: 0.03452753275632858
[2021-12-22 10:00:17,763][train.py][INFO] epoch:8/25, 11th , loss: 0.04476996511220932
[2021-12-22 10:00:17,803][train.py][INFO] epoch:9/25, 1th , loss: 0.11808271706104279
[2021-12-22 10:00:17,853][train.py][INFO] epoch:9/25, 3th , loss: 0.047998931258916855
[2021-12-22 10:00:17,913][train.py][INFO] epoch:9/25, 5th , loss: 0.06397844851016998
[2021-12-22 10:00:17,963][train.py][INFO] epoch:9/25, 7th , loss: 0.042528532445430756
[2021-12-22 10:00:18,003][train.py][INFO] epoch:9/25, 9th , loss: 0.04907504841685295
[2021-12-22 10:00:18,053][train.py][INFO] epoch:9/25, 11th , loss: 0.040093667805194855
[2021-12-22 10:00:18,093][train.py][INFO] epoch:10/25, 1th , loss: 0.08037866652011871
